gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
260,194702260GSW,NBA,0,1947,2/26/1947,48,0,PHW,Warriors,75,1367.5853,1374.6681,48.738445,STB,Bombers,65,1372.9569,1365.8741,H,W,0.63291091,
263,194702280BOS,NBA,0,1947,2/28/1947,48,0,BOS,Celtics,69,1219.1423,1226.672,33.397205,CLR,Rebels,62,1289.8831,1282.3534,H,W,0.54200822,
264,194702280TRH,NBA,1,1947,2/28/1947,49,0,PHW,Warriors,69,1374.6681,1364.3468,47.689369,TRH,Huskies,77,1238.455,1248.7762,A,L,0.55192697,
267,194703010WSC,NBA,1,1947,3/1/1947,49,0,BOS,Celtics,52,1226.672,1223.4663,33.073006,WSC,Capitols,75,1482.8972,1486.1029,A,L,0.11399204,
269,194703020CLR,NBA,1,1947,3/2/1947,50,0,PHW,Warriors,69,1364.3468,1359.121,47.154663,CLR,Rebels,72,1282.3534,1287.5792,A,L,0.47410959,
270,194703030GSW,NBA,0,1947,3/3/1947,51,0,PHW,Warriors,76,1359.121,1363.0291,47.554749,TRH,Huskies,66,1240.4922,1236.5841,H,W,0.77877271,
276,194703060BOS,NBA,0,1947,3/6/1947,50,0,BOS,Celtics,74,1223.4663,1230.1863,33.753746,DTF,Falcons,65,1231.4539,1224.7339,H,W,0.62940526,
278,194703060GSW,NBA,0,1947,3/6/1947,52,0,PHW,Warriors,59,1363.0291,1354.5304,46.68317,NYK,Knicks,61,1274.8856,1283.3843,H,L,0.74706894,
280,194703080BOS,NBA,0,1947,3/8/1947,51,0,BOS,Celtics,67,1230.1863,1233.4753,34.088467,TRH,Huskies,65,1234.9574,1231.6683,H,W,0.6337136,
285,194703100BOS,NBA,0,1947,3/10/1947,52,0,BOS,Celtics,70,1233.4753,1214.7625,32.198051,PRO,Steamrollers,87,1261.5695,1280.2823,H,L,0.60202831,
287,194703110GSW,NBA,0,1947,3/11/1947,53,0,PHW,Warriors,77,1354.5304,1349.8231,46.198101,WSC,Capitols,80,1499.2137,1503.921,H,L,0.4360477,
289,194703120BOS,NBA,0,1947,3/12/1947,53,0,BOS,Celtics,69,1214.7625,1223.4777,33.074154,TRH,Huskies,57,1241.6997,1232.9845,H,W,0.60362273,
293,194703130GSW,NBA,0,1947,3/13/1947,54,0,PHW,Warriors,81,1349.8231,1356.561,46.891933,BOS,Celtics,57,1223.4777,1216.7397,H,W,0.78633094,
293,194703130GSW,NBA,1,1947,3/13/1947,54,0,BOS,Celtics,57,1223.4777,1216.7397,32.396114,PHW,Warriors,81,1349.8231,1356.561,A,L,0.21366906,
295,194703140CHS,NBA,1,1947,3/14/1947,55,0,PHW,Warriors,67,1356.561,1353.7579,46.60368,CHS,Stags,70,1417.9938,1420.7969,A,L,0.2830705,
299,194703160DTF,NBA,1,1947,3/16/1947,56,0,PHW,Warriors,67,1353.7579,1360.325,47.278049,DTF,Falcons,61,1211.2144,1204.6473,A,W,0.56092095,
